,Date,NIFTY FMCG
379,2009-07-22,
380,2009-07-23,
381,2009-07-24,
382,2009-07-27,
383,2009-07-28,
384,2009-07-29,
385,2009-07-30,
386,2009-07-31,
387,2009-08-03,
388,2009-08-04,
389,2009-08-05,
390,2009-08-06,
391,2009-08-07,
392,2009-08-10,
393,2009-08-11,
394,2009-08-12,
395,2009-08-13,
396,2009-08-14,
397,2009-08-17,
398,2009-08-18,
399,2009-08-19,
400,2009-08-20,
401,2009-08-21,
402,2009-08-24,
403,2009-08-25,
404,2009-08-26,
405,2009-08-27,
406,2009-08-28,
407,2009-08-31,
408,2009-09-01,
409,2009-09-02,
410,2009-09-03,
411,2009-09-04,
412,2009-09-07,
413,2009-09-08,
414,2009-09-09,
415,2009-09-10,
416,2009-09-11,
417,2009-09-14,
418,2009-09-15,
419,2009-09-16,
420,2009-09-17,
421,2009-09-18,
422,2009-09-22,
423,2009-09-23,
424,2009-09-24,
425,2009-09-25,
426,2009-09-29,
427,2009-09-30,
428,2009-10-01,
429,2009-10-05,
430,2009-10-06,
431,2009-10-07,
432,2009-10-08,
433,2009-10-09,
434,2009-10-12,
435,2009-10-14,
436,2009-10-15,
437,2009-10-16,
438,2009-10-17,
439,2009-10-20,
440,2009-10-21,
441,2009-10-22,
442,2009-10-23,
443,2009-10-26,
444,2009-10-27,
445,2009-10-28,
446,2009-10-29,
447,2009-10-30,
448,2009-11-03,
449,2009-11-04,
450,2009-11-05,
451,2009-11-06,
452,2009-11-09,
453,2009-11-10,
454,2009-11-11,
455,2009-11-12,
456,2009-11-13,
457,2009-11-16,
458,2009-11-17,
459,2009-11-18,
460,2009-11-19,
461,2009-11-20,
462,2009-11-23,
463,2009-11-24,
464,2009-11-25,
465,2009-11-26,
466,2009-11-27,
467,2009-11-30,
468,2009-12-01,
469,2009-12-02,
470,2009-12-03,
471,2009-12-04,
472,2009-12-07,
473,2009-12-08,
474,2009-12-09,
475,2009-12-10,
476,2009-12-11,
477,2009-12-14,
478,2009-12-15,
479,2009-12-16,
480,2009-12-17,
481,2009-12-18,
482,2009-12-21,
483,2009-12-22,
484,2009-12-23,
485,2009-12-24,
486,2009-12-29,
487,2009-12-30,
488,2009-12-31,
489,2010-01-04,
490,2010-01-05,
491,2010-01-06,
492,2010-01-07,
493,2010-01-08,
494,2010-01-11,
495,2010-01-12,
496,2010-01-13,
497,2010-01-14,
498,2010-01-15,
499,2010-01-18,
500,2010-01-19,
501,2010-01-20,
502,2010-01-21,
503,2010-01-22,
504,2010-01-25,
505,2010-01-27,
506,2010-01-28,
507,2010-01-29,
508,2010-02-01,
509,2010-02-02,
510,2010-02-03,
511,2010-02-04,
512,2010-02-05,
513,2010-02-06,
514,2010-02-08,
515,2010-02-09,
516,2010-02-10,
517,2010-02-11,
518,2010-02-15,
519,2010-02-16,
520,2010-02-17,
521,2010-02-18,
522,2010-02-19,
523,2010-02-22,
524,2010-02-23,
525,2010-02-24,
526,2010-02-25,
527,2010-02-26,
528,2010-03-02,
529,2010-03-03,
530,2010-03-04,
531,2010-03-05,
532,2010-03-08,
533,2010-03-09,
534,2010-03-10,
535,2010-03-11,
536,2010-03-12,
537,2010-03-15,
538,2010-03-16,
539,2010-03-17,
540,2010-03-18,
541,2010-03-19,
542,2010-03-22,
543,2010-03-23,
544,2010-03-25,
545,2010-03-26,
546,2010-03-29,
547,2010-03-30,
548,2010-03-31,
549,2010-04-01,
550,2010-04-05,
551,2010-04-06,
552,2010-04-07,
553,2010-04-08,
554,2010-04-09,
555,2010-04-12,
556,2010-04-13,
557,2010-04-15,
558,2010-04-16,
559,2010-04-19,
560,2010-04-20,
561,2010-04-21,
562,2010-04-22,
563,2010-04-23,
564,2010-04-26,
565,2010-04-27,
566,2010-04-28,
567,2010-04-29,
568,2010-04-30,
569,2010-05-03,
570,2010-05-04,
571,2010-05-05,
572,2010-05-06,
573,2010-05-07,
574,2010-05-10,
575,2010-05-11,
576,2010-05-12,
577,2010-05-13,
578,2010-05-14,
579,2010-05-17,
580,2010-05-18,
581,2010-05-19,
582,2010-05-20,
583,2010-05-21,
584,2010-05-24,
585,2010-05-25,
586,2010-05-26,
587,2010-05-27,
588,2010-05-28,
589,2010-05-31,
590,2010-06-01,
591,2010-06-02,
592,2010-06-03,
593,2010-06-04,
594,2010-06-07,
595,2010-06-08,
596,2010-06-09,
597,2010-06-10,
598,2010-06-11,
599,2010-06-14,
600,2010-06-15,
601,2010-06-16,
602,2010-06-17,
603,2010-06-18,
604,2010-06-21,
605,2010-06-22,
606,2010-06-23,
607,2010-06-24,
608,2010-06-25,
609,2010-06-28,
610,2010-06-29,
611,2010-06-30,
612,2010-07-01,
613,2010-07-02,
614,2010-07-05,
615,2010-07-06,
616,2010-07-07,
617,2010-07-08,
618,2010-07-09,
619,2010-07-12,
620,2010-07-13,
621,2010-07-14,
622,2010-07-15,
623,2010-07-16,
624,2010-07-19,
625,2010-07-20,
626,2010-07-21,
627,2010-07-22,
628,2010-07-23,
629,2010-07-26,
630,2010-07-27,
631,2010-07-28,
632,2010-07-29,
633,2010-07-30,
634,2010-08-02,
635,2010-08-03,
636,2010-08-04,
637,2010-08-05,
638,2010-08-06,
639,2010-08-09,
640,2010-08-10,
641,2010-08-11,
642,2010-08-12,
643,2010-08-13,
644,2010-08-16,
645,2010-08-17,
646,2010-08-18,
647,2010-08-19,
648,2010-08-20,
649,2010-08-23,
650,2010-08-24,
651,2010-08-25,
652,2010-08-26,
653,2010-08-27,
654,2010-08-30,
655,2010-08-31,
656,2010-09-01,
657,2010-09-02,
658,2010-09-03,
659,2010-09-06,
660,2010-09-07,
661,2010-09-08,
662,2010-09-09,
663,2010-09-13,
664,2010-09-14,
665,2010-09-15,
666,2010-09-16,
667,2010-09-17,
668,2010-09-20,
669,2010-09-21,
670,2010-09-22,
671,2010-09-23,
672,2010-09-24,
673,2010-09-27,
674,2010-09-28,
675,2010-09-29,
676,2010-09-30,
677,2010-10-01,
678,2010-10-04,
679,2010-10-05,
680,2010-10-06,
681,2010-10-07,
682,2010-10-08,
683,2010-10-11,
684,2010-10-12,
685,2010-10-13,
686,2010-10-14,
687,2010-10-15,
688,2010-10-18,
689,2010-10-19,
690,2010-10-20,
691,2010-10-21,
692,2010-10-22,
693,2010-10-25,
694,2010-10-26,
695,2010-10-27,
696,2010-10-28,
697,2010-10-29,
698,2010-11-01,
699,2010-11-02,
700,2010-11-03,
701,2010-11-04,
702,2010-11-05,
703,2010-11-08,
704,2010-11-09,
705,2010-11-10,
706,2010-11-11,
707,2010-11-12,
708,2010-11-15,
709,2010-11-16,
710,2010-11-18,
711,2010-11-19,
712,2010-11-22,
713,2010-11-23,
714,2010-11-24,
715,2010-11-25,
716,2010-11-26,
717,2010-11-29,
718,2010-11-30,
719,2010-12-01,
720,2010-12-02,
721,2010-12-03,
722,2010-12-06,
723,2010-12-07,
724,2010-12-08,
725,2010-12-09,
726,2010-12-10,
727,2010-12-13,
728,2010-12-14,
729,2010-12-15,
730,2010-12-16,
731,2010-12-20,
732,2010-12-21,
733,2010-12-22,
734,2010-12-23,
735,2010-12-24,
736,2010-12-27,
737,2010-12-28,
738,2010-12-29,
739,2010-12-30,
740,2010-12-31,
741,2011-01-03,
742,2011-01-04,
743,2011-01-05,
744,2011-01-06,
745,2011-01-07,
746,2011-01-10,
747,2011-01-11,
748,2011-01-12,
749,2011-01-13,
750,2011-01-14,
751,2011-01-17,
752,2011-01-18,
753,2011-01-19,
754,2011-01-20,
755,2011-01-21,
756,2011-01-24,
757,2011-01-25,
758,2011-01-27,
759,2011-01-28,
760,2011-01-31,8707.95
761,2011-02-01,8625.6
762,2011-02-02,8491.25
763,2011-02-03,8411.1
764,2011-02-04,8495.85
765,2011-02-07,8332.6
766,2011-02-08,8356.05
767,2011-02-09,8248.4
768,2011-02-10,8167.65
769,2011-02-11,8214.95
770,2011-02-14,8191.35
771,2011-02-15,8430.1
772,2011-02-16,8345.15
773,2011-02-17,8427.6
774,2011-02-18,8466.75
775,2011-02-21,8413.35
776,2011-02-22,8459.6
777,2011-02-23,8421.35
778,2011-02-24,8332.4
779,2011-02-25,8202.55
780,2011-02-28,8348.25
781,2011-03-01,8789.95
782,2011-03-03,8895.05
783,2011-03-04,9000.5
784,2011-03-07,8882.8
785,2011-03-08,8911.15
786,2011-03-09,8903.85
787,2011-03-10,8842.65
788,2011-03-11,8804.4
789,2011-03-14,8850.15
790,2011-03-15,8828.4
791,2011-03-16,8798.6
792,2011-03-17,8749.1
793,2011-03-18,8726.75
794,2011-03-21,8672.3
795,2011-03-22,8653.7
796,2011-03-23,8683.05
797,2011-03-24,8787.2
798,2011-03-25,8851.15
799,2011-03-28,8905.8
800,2011-03-29,9029.3
801,2011-03-30,9033.35
802,2011-03-31,9026.35
803,2011-04-01,9180.95
804,2011-04-04,9231.4
805,2011-04-05,9273.8
806,2011-04-06,9249.75
807,2011-04-07,9260.85
808,2011-04-08,9262.55
809,2011-04-11,9286.55
810,2011-04-13,9280.75
811,2011-04-15,9501.3
812,2011-04-18,9497.5
813,2011-04-19,9413.4
814,2011-04-20,9380.25
815,2011-04-21,9579.85
816,2011-04-25,9521.75
817,2011-04-26,9535.4
818,2011-04-27,9540.25
819,2011-04-28,9604.65
820,2011-04-29,9465.9
821,2011-05-02,9612.5
822,2011-05-03,9506.65
823,2011-05-04,9362.05
824,2011-05-05,9350.9
825,2011-05-06,9178.55
826,2011-05-09,9267.75
827,2011-05-10,9386.25
828,2011-05-11,9457.5
829,2011-05-12,9486.05
830,2011-05-13,9411.05
831,2011-05-16,9643.8
832,2011-05-17,9516.8
833,2011-05-18,9577.35
834,2011-05-19,9642.85
835,2011-05-20,9653.45
836,2011-05-23,9574.15
837,2011-05-24,9625.1
838,2011-05-25,9508.0
839,2011-05-26,9554.3
840,2011-05-27,9553.0
841,2011-05-30,9607.55
842,2011-05-31,9610.45
843,2011-06-01,9875.75
844,2011-06-02,9848.2
845,2011-06-03,9960.85
846,2011-06-06,9900.45
847,2011-06-07,9823.6
848,2011-06-08,9843.55
849,2011-06-09,9935.05
850,2011-06-10,9830.0
851,2011-06-13,9802.0
852,2011-06-14,9813.5
853,2011-06-15,9923.95
854,2011-06-16,9958.75
855,2011-06-17,9909.25
856,2011-06-20,9901.9
857,2011-06-21,9713.2
858,2011-06-22,9642.35
859,2011-06-23,9560.7
860,2011-06-24,9772.9
861,2011-06-27,9864.5
862,2011-06-28,9909.3
863,2011-06-29,9943.0
864,2011-06-30,10197.15
865,2011-07-01,10462.2
866,2011-07-04,10379.75
867,2011-07-05,10295.6
868,2011-07-06,10141.6
869,2011-07-07,10186.4
870,2011-07-08,10446.95
871,2011-07-11,10320.1
872,2011-07-12,10328.25
873,2011-07-13,10333.05
874,2011-07-14,10390.4
875,2011-07-15,10343.3
876,2011-07-18,10320.75
877,2011-07-19,10329.75
878,2011-07-20,10384.35
879,2011-07-21,10381.25
880,2011-07-22,10475.4
881,2011-07-25,10459.35
882,2011-07-26,10397.3
883,2011-07-27,10280.75
884,2011-07-28,10167.35
885,2011-07-29,10345.3
886,2011-08-01,10490.35
887,2011-08-02,10416.55
888,2011-08-03,10249.35
889,2011-08-04,10286.6
890,2011-08-05,9966.35
891,2011-08-08,9856.2
892,2011-08-09,9727.3
893,2011-08-10,10067.3
894,2011-08-11,9950.1
895,2011-08-12,10039.1
896,2011-08-16,10066.15
897,2011-08-17,10006.8
898,2011-08-18,10171.7
899,2011-08-19,10039.75
900,2011-08-22,9926.3
901,2011-08-23,10077.05
902,2011-08-24,10111.75
903,2011-08-25,10090.0
904,2011-08-26,10103.55
905,2011-08-29,9926.35
906,2011-08-30,10124.45
907,2011-09-02,10271.35
908,2011-09-05,10149.5
909,2011-09-06,10116.65
910,2011-09-07,10148.35
911,2011-09-08,10115.9
912,2011-09-09,10100.8
913,2011-09-12,9999.1
914,2011-09-13,10065.25
915,2011-09-14,10065.05
916,2011-09-15,10256.85
917,2011-09-16,10158.3
918,2011-09-19,10025.3
919,2011-09-20,9942.6
920,2011-09-21,10042.7
921,2011-09-22,9961.9
922,2011-09-23,9692.9
923,2011-09-26,9782.45
924,2011-09-27,9645.9
925,2011-09-28,9835.95
926,2011-09-29,9851.7
927,2011-09-30,10039.4
928,2011-10-03,9857.4
929,2011-10-04,9751.2
930,2011-10-05,9646.65
931,2011-10-07,9815.45
932,2011-10-10,9864.1
933,2011-10-11,10000.8
934,2011-10-12,9949.9
935,2011-10-13,10080.45
936,2011-10-14,10047.05
937,2011-10-17,10161.6
938,2011-10-18,10153.75
939,2011-10-19,10149.4
940,2011-10-20,10196.6
941,2011-10-21,10170.75
942,2011-10-24,10098.4
943,2011-10-25,10256.05
944,2011-10-26,10406.4
945,2011-10-28,10520.25
946,2011-10-31,10587.6
947,2011-11-01,10599.5
948,2011-11-02,10549.5
949,2011-11-03,10562.75
950,2011-11-04,10608.5
951,2011-11-08,10587.55
952,2011-11-09,10643.1
953,2011-11-11,10736.65
954,2011-11-14,10768.95
955,2011-11-15,10713.7
956,2011-11-16,10580.75
957,2011-11-17,10640.85
958,2011-11-18,10440.85
959,2011-11-21,10269.25
960,2011-11-22,10322.65
961,2011-11-23,10098.7
962,2011-11-24,9982.0
963,2011-11-25,9950.05
964,2011-11-28,9990.9
965,2011-11-29,10114.9
966,2011-11-30,10123.0
967,2011-12-01,10396.35
968,2011-12-02,10348.25
969,2011-12-05,10446.4
970,2011-12-07,10425.65
971,2011-12-08,10447.6
972,2011-12-09,10207.45
973,2011-12-12,10194.45
974,2011-12-13,10058.7
975,2011-12-14,10127.55
976,2011-12-15,10135.65
977,2011-12-16,10197.05
978,2011-12-19,10015.9
979,2011-12-20,10139.5
980,2011-12-21,10208.95
981,2011-12-22,10222.05
982,2011-12-23,10385.3
983,2011-12-26,10354.95
984,2011-12-27,10444.65
985,2011-12-28,10446.35
986,2011-12-29,10282.2
987,2011-12-30,10246.75
988,2012-01-02,10236.75
989,2012-01-03,10153.3
990,2012-01-04,10246.35
991,2012-01-05,10134.35
992,2012-01-06,10111.75
993,2012-01-07,10218.35
994,2012-01-09,10183.2
995,2012-01-10,10189.15
996,2012-01-11,10305.55
997,2012-01-12,10239.4
998,2012-01-13,10311.75
999,2012-01-16,10345.55
1000,2012-01-17,10419.5
1001,2012-01-18,10463.6
1002,2012-01-19,10490.45
1003,2012-01-20,10475.6
1004,2012-01-23,10221.55
1005,2012-01-24,10350.2
1006,2012-01-25,10349.1
1007,2012-01-27,10465.05
1008,2012-01-30,10253.0
1009,2012-01-31,10255.7
1010,2012-02-01,10315.05
1011,2012-02-02,10345.6
1012,2012-02-03,10316.1
1013,2012-02-06,10528.6
1014,2012-02-07,10513.55
1015,2012-02-08,10500.0
1016,2012-02-09,10455.55
1017,2012-02-10,10525.2
1018,2012-02-13,10501.55
1019,2012-02-14,10470.95
1020,2012-02-15,10511.25
1021,2012-02-16,10517.9
1022,2012-02-17,10513.25
1023,2012-02-21,10554.7
1024,2012-02-22,10572.65
1025,2012-02-23,10529.3
1026,2012-02-24,10612.8
1027,2012-02-27,10662.4
1028,2012-02-28,10653.9
1029,2012-02-29,10656.1
1030,2012-03-01,10555.1
1031,2012-03-02,10520.85
1032,2012-03-03,10466.8
1033,2012-03-05,10459.05
1034,2012-03-06,10471.45
1035,2012-03-07,10569.25
1036,2012-03-09,10629.85
1037,2012-03-12,10629.2
1038,2012-03-13,10578.8
1039,2012-03-14,10735.7
1040,2012-03-15,10781.45
1041,2012-03-16,10683.4
1042,2012-03-19,10923.0
1043,2012-03-20,11025.75
1044,2012-03-21,11135.75
1045,2012-03-22,11241.7
1046,2012-03-23,11105.05
1047,2012-03-26,11180.9
1048,2012-03-27,11205.7
1049,2012-03-28,11355.7
1050,2012-03-29,11283.8
1051,2012-03-30,11298.0
1052,2012-04-02,11430.25
1053,2012-04-03,11484.25
1054,2012-04-04,11445.35
1055,2012-04-09,11391.75
1056,2012-04-10,11384.3
1057,2012-04-11,11556.35
1058,2012-04-12,11557.15
1059,2012-04-13,11779.65
1060,2012-04-16,11806.1
1061,2012-04-17,12083.1
1062,2012-04-18,12133.0
1063,2012-04-19,12072.1
1064,2012-04-20,12145.8
1065,2012-04-23,12180.05
1066,2012-04-24,12073.5
1067,2012-04-25,12102.05
1068,2012-04-26,12160.05
1069,2012-04-27,12201.55
1070,2012-04-28,12156.35
1071,2012-04-30,12208.75
1072,2012-05-02,12207.75
1073,2012-05-03,12177.7
1074,2012-05-04,12095.05
1075,2012-05-07,11873.2
1076,2012-05-08,11897.95
1077,2012-05-09,11666.0
1078,2012-05-10,11979.45
1079,2012-05-11,11905.8
1080,2012-05-14,11772.5
1081,2012-05-15,11729.25
1082,2012-05-16,11635.85
1083,2012-05-17,11617.85
1084,2012-05-18,11703.75
1085,2012-05-21,11933.9
1086,2012-05-22,11845.45
1087,2012-05-23,11624.05
1088,2012-05-24,11671.85
1089,2012-05-25,11695.1
1090,2012-05-28,11699.25
1091,2012-05-29,11806.05
1092,2012-05-30,11659.8
1093,2012-05-31,11572.3
1094,2012-06-01,11635.6
1095,2012-06-04,11635.25
1096,2012-06-05,11532.15
1097,2012-06-06,11387.85
1098,2012-06-07,11768.7
1099,2012-06-08,11817.85
1100,2012-06-11,11875.6
1101,2012-06-12,11864.55
1102,2012-06-13,12009.3
1103,2012-06-14,12141.0
1104,2012-06-15,12155.8
1105,2012-06-18,12278.65
1106,2012-06-19,12072.75
1107,2012-06-20,12273.1
1108,2012-06-21,12219.65
1109,2012-06-22,12388.2
1110,2012-06-25,12380.1
1111,2012-06-26,12353.95
1112,2012-06-27,12324.05
1113,2012-06-28,12352.5
1114,2012-06-29,12510.5
1115,2012-07-02,12729.45
1116,2012-07-03,12454.0
1117,2012-07-04,12403.8
1118,2012-07-05,12340.35
1119,2012-07-06,12478.0
1120,2012-07-09,12491.4
1121,2012-07-10,12476.7
1122,2012-07-11,12628.0
1123,2012-07-12,12497.3
1124,2012-07-13,12473.0
1125,2012-07-16,12504.2
1126,2012-07-17,12516.05
1127,2012-07-18,12640.25
1128,2012-07-19,12618.3
1129,2012-07-20,12570.25
1130,2012-07-23,12545.6
1131,2012-07-24,12537.0
1132,2012-07-25,12674.75
1133,2012-07-26,12786.65
1134,2012-07-27,12713.9
1135,2012-07-30,12767.65
1136,2012-07-31,12859.7
1137,2012-08-01,12880.15
1138,2012-08-02,12973.1
1139,2012-08-03,12980.15
1140,2012-08-06,13031.3
1141,2012-08-07,12968.05
1142,2012-08-08,13028.5
1143,2012-08-09,13072.7
1144,2012-08-10,13226.7
1145,2012-08-13,13332.35
1146,2012-08-14,13385.9
1147,2012-08-16,13384.6
1148,2012-08-17,13130.0
1149,2012-08-21,13303.5
1150,2012-08-22,13325.45
1151,2012-08-23,13370.15
1152,2012-08-24,13448.9
1153,2012-08-27,13498.85
1154,2012-08-28,13529.75
1155,2012-08-29,13641.5
1156,2012-08-30,13667.25
1157,2012-08-31,13772.4
1158,2012-09-03,13694.95
1159,2012-09-04,13650.65
1160,2012-09-05,13673.3
1161,2012-09-06,13774.4
1162,2012-09-07,13653.35
1163,2012-09-08,13650.3
1164,2012-09-10,13729.1
1165,2012-09-11,13688.1
1166,2012-09-12,13762.9
1167,2012-09-13,13818.1
1168,2012-09-14,14000.35
1169,2012-09-17,13897.45
1170,2012-09-18,13337.55
1171,2012-09-20,13327.5
1172,2012-09-21,13431.95
1173,2012-09-24,13573.95
1174,2012-09-25,13372.05
1175,2012-09-26,13671.2
1176,2012-09-27,13745.65
1177,2012-09-28,13930.35
1178,2012-10-01,14095.35
1179,2012-10-03,14171.4
1180,2012-10-04,14204.4
1181,2012-10-05,14396.05
1182,2012-10-08,14408.1
1183,2012-10-09,14445.85
1184,2012-10-10,14550.0
1185,2012-10-11,14532.95
1186,2012-10-12,14743.4
1187,2012-10-15,14698.95
1188,2012-10-16,14757.95
1189,2012-10-17,14791.7
1190,2012-10-18,14853.1
1191,2012-10-19,14931.35
1192,2012-10-22,15078.0
1193,2012-10-23,15032.55
1194,2012-10-25,14930.3
1195,2012-10-26,14890.4
1196,2012-10-29,14635.5
1197,2012-10-30,14580.15
1198,2012-10-31,14572.35
1199,2012-11-01,14460.2
